	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
s̪ʲ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	+	+	-	-	-	+	-	-
s͡kʷ	-	-	+	-	-	-	-	-	-	-	-	.	n	.	-	+	.	.	+	+	.	-	-
s͡kʷ	-	-	+	-	-	-	-	-	-	-	-	.	n	.	-	+	.	.	+	+	.	-	-
sɥ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	+	+	-	+	+	-	-	-
s̪v	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
sʷ	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	+	+	-	-	-
sʼ	-	-	+	-	+	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
sʼ	-	-	+	-	+	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
sʼ	-	-	+	-	+	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
s̪ʼ	-	-	+	-	+	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	+	-	-
s̪ʼ	-	-	+	-	+	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	+	-	-
sˤ	-	-	+	-	+	-	-	-	-	+	-	.	n	-	+	+	+	+	-	-	-	-	-
sˤ	-	-	+	-	+	-	-	-	-	+	-	.	n	-	+	+	+	+	-	-	-	-	-
s̪ˤ	-	-	+	-	+	-	-	-	-	+	-	.	n	-	+	+	+	+	-	-	+	-	-
s̪ˤ	-	-	+	-	+	-	-	-	-	+	-	.	n	-	+	+	+	+	-	-	+	-	-
s̻ˤ	-	-	+	-	+	-	-	-	-	+	-	.	n	-	+	+	+	+	-	-	+	-	-
s̪ˤː	-	-	+	-	+	-	-	-	-	+	-	.	n	-	+	+	+	+	-	-	+	+	-
ʂ	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	-	+	-	-	-	-	-	-
ʂʰ	-	-	+	-	+	-	-	-	-	+	+	+	n	-	-	-	+	-	-	-	-	-	-
ʃ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʃ̀	-	-	+	-	+	-	-	-	-	+	-	+	n	+	-	-	+	-	-	-	+	-	-
ʃː	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	+	-
ʃː	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	+	-
ʃʲ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʃ͡kʷ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	-	+	.	+	+	+	-	-
ʃtʃ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	-	+	-	-	-	+	-	-
ʃʷ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
ʃ̥ʷ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
ʃʼ	-	-	+	-	+	-	+	-	-	+	-	+	n	+	-	-	+	-	-	-	+	-	-
ʃʼ	-	-	+	-	+	-	+	-	-	+	-	+	n	+	-	-	+	-	-	-	+	-	-
ʃʼʷ	-	-	+	-	+	-	+	-	-	+	-	+	n	-	-	+	+	-	+	+	-	-	-
ʃʼʷ	-	-	+	-	+	-	+	-	-	+	-	+	n	-	-	+	+	-	+	+	-	-	-
t	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
t̀	-	-	+	-	-	-	-	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
t̂	-	-	+	-	-	-	-	-	-	-	-	-	n	-	-	+	+	-	-	-	-	-	-
t̪	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
t̪̀	-	-	+	-	-	-	-	-	-	-	-	+	n	-	-	+	+	-	-	-	+	-	-
t̪̀	-	-	+	-	-	-	-	-	-	-	-	+	n	-	-	+	+	-	-	-	+	-	-
t'	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
tː	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	+	-
t̪ː	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	+	-
tːʃ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	+	-
tːʃː	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	+	+
tç	-	-	+	-	-	-	-	-	-	-	-	.	n	.	-	-	.	-	-	-	.	-	-
t̪͡c	-	-	+	-	-	-	-	-	-	-	-	.	n	.	-	.	.	-	-	-	+	-	-
tçʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	.	-	-	.	-	-	-	.	-	-
tɕ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
t̻ɕ	-	-	+	-	-	-	-	-	-	+	-	.	n	.	-	-	+	-	-	-	+	-	-
tɕʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	+	-	-	+	-	-	-	+	-	-
t̻ɕʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	.	-	-	+	-	-	-	+	-	-
tɕɥ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	-	+	-	+	+	+	-	-
t̻ɕʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	.	-	-	+	-	-	-	+	-	-
t̻ɕʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	.	-	-	+	-	-	-	+	-	-
tˠ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	+	+	+	-	-	-	-	-
tʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
t̪ʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	-	-	+	+	-	-	-	+	-	-
tʰʷ	-	-	+	-	-	-	-	-	-	-	+	+	n	-	-	+	+	-	+	+	-	-	-
tɦ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
tʲ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
t̪ʲ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	+	+	-	-	-	+	-	-
tʲʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	+	-	+	+	-	-	-	-	-	-
tʲʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	-	-	-	-	-	-
tʲʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	-	-	-	-	-	-
t̪͡k	-	-	+	-	-	-	-	-	-	-	-	.	n	.	-	.	.	.	-	-	.	-	-
tl	-	-	+	-	-	-	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
tlʰ	-	-	+	-	-	-	-	+	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
tlʼ	-	-	+	-	-	-	+	+	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
tlʼ	-	-	+	-	-	-	+	+	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
tɬ	-	-	+	-	-	-	-	+	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
tɬʰ	-	-	+	-	-	-	-	+	-	-	+	+	n	-	-	+	+	-	-	-	.	-	-
tɬʼ	-	-	+	-	-	-	+	+	-	-	-	+	n	-	-	+	+	-	-	-	.	-	-
tɬʼ	-	-	+	-	-	-	+	+	-	-	-	+	n	-	-	+	+	-	-	-	.	-	-
tⁿ	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	+	-	-	-	-	-	-
t̪ⁿ	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	+	-	-	-	+	-	-
tɸʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	-	-	+	.	-	-	.	.	-	-
tr	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ts	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
ts̀	-	-	+	-	-	-	-	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
t̪s̪	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
t̻s̻	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
t̪s̪ː	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	+	-
tsʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-	+	+	-	-	-	-	-	-
t̪s̪ʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-	+	+	-	-	-	+	-	-
tsʰʷ	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-	+	+	-	+	+	-	-	-
t̪s̪ʰʷ	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-	+	+	-	+	+	+	-	-
t̪s̪ɦ	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
tsʲ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	+	+	-	-	-	-	-	-
t̺s̺ʲ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	+	+	-	-	-	+	-	-
tsjʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	+	-	+	+	-	-	-	-	-	-
ts͡kʷ	-	-	+	-	-	-	-	-	-	+	-	.	n	.	-	+	.	.	+	+	.	-	-
tsʷ	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	+	+	-	-	-
tswʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-	+	+	-	+	+	-	-	-
tsx	-	-	+	-	-	-	-	-	-	.	-	.	n	.	.	+	.	.	-	-	.	-	-
tsʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
tsʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
t̪s̪ʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	+	-	-
t̪s̪ʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	+	-	-
tsʼkxʼ	-	-	+	-	-	-	+	-	-	.	-	+	n	.	-	+	.	.	-	-	.	-	-
tsʼkxʼ	-	-	+	-	-	-	+	-	-	.	-	+	n	.	-	+	.	.	-	-	.	-	-
tsʼʷ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	+	+	-	+	+	-	-	-
tsʼʷ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	+	+	-	+	+	-	-	-
tʂ	-	-	+	-	-	-	-	.	-	+	-	.	n	.	.	-	+	.	-	-	-	-	-
tʂʼ	-	-	+	-	-	-	+	.	-	+	-	+	n	.	.	-	+	.	-	-	-	-	-
tʂʼ	-	-	+	-	-	-	+	.	-	+	-	+	n	.	.	-	+	.	-	-	-	-	-
tʃ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
tʃ̀	-	-	+	-	-	-	-	-	-	+	-	+	n	+	-	-	+	-	-	-	+	-	-
t̪ʃ	-	-	+	-	-	-	-	-	-	+	-	.	n	.	-	.	.	-	-	-	+	-	-
t̻ʃ̻	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
tʃʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	+	-	-	+	-	-	-	+	-	-
tʃʰʷ	-	-	+	-	-	-	-	-	-	+	+	+	n	+	-	-	+	-	+	+	+	-	-
tʃɦ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
tʃʲ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
tʃ͡k	-	-	+	+	-	-	-	-	-	+	-	.	n	+	-	-	+	.	-	-	+	-	-
tʃ͡kʷ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	-	+	.	+	+	+	-	-
tʃ͡kʷ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	.	+	+	+	-	-
tʃʷ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
tʃʷʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	+	-	-	+	-	+	+	+	-	-
tʃʷʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	+	-	-	+	-	+	+	+	-	-
tʃʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	+	-	-	+	-	-	-	+	-	-
tʃʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	+	-	-	+	-	-	-	+	-	-
tʃˤ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	+	-	+	+	-	-	+	-	-
tʷ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	+	+	-	-	-
t̪ʷ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	+	+	+	-	-
tx	-	-	+	-	-	-	-	-	-	-	-	.	n	.	.	.	.	.	-	-	.	-	-
tz	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
tzʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
tzʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
tʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
tʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
t̪ʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	-	-	+	-	-
t̪ʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	-	-	+	-	-
tʼkxʼ	-	-	+	-	-	-	+	-	-	.	-	+	n	.	-	+	.	.	-	-	.	-	-
tʼkxʼ	-	-	+	-	-	-	+	-	-	.	-	+	n	.	-	+	.	.	-	-	.	-	-
tʼʷ	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	+	+	-	-	-
tʼʷ	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	+	+	-	-	-
tˤ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
tˤ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
t̪ˤ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	+	+	+	+	-	-	+	-	-
t̪ˤ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	+	+	+	+	-	-	+	-	-
t̪ˤː	-	-	+	-	-	-	-	-	-	-	-	.	n	-	+	+	+	+	-	-	+	+	-
tθ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
t̪θ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
tθʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	-	-	.	-	-
tθʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	-	-	.	-	-
ʈ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ʈʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	-	-	-	+	-	-	-	-	-	-
ʈʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	-	-	-	+	-	-	-	-	-	-
ʈʲ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ʈʲʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	+	-	-	+	-	-	-	-	-	-
ʈⁿ	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ʈɽ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ʈʂ	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	-	+	-	-	-	-	-	-
ʈʂʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-	-	+	-	-	-	-	-	-
ʈʂʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	-	+	-	-	-	-	-	-
ʈʂʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	-	+	-	-	-	-	-	-
u	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ũ	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	+	+	n	-	-
u̝	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
u̞	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	+	+	+	n	-	-
u̞	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	+	+	+	n	-	-
u̞	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	+	+	+	n	-	-
u̞	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ṳ	+	+	-	+	+	+	-	n	-	-	+	+	+	+	-	-	-	+	+	+	n	-	-
ṳ	+	+	-	+	+	+	-	n	-	-	+	+	+	+	-	-	-	+	+	+	n	-	-
ṳ̃	+	+	-	+	+	+	-	n	+	-	+	-	-	+	-	-	-	+	+	+	n	-	-
u̥	+	-	-	+	+	-	-	n	-	-	+	+	+	+	-	-	-	+	+	+	n	-	-
ṵ	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
uː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	+	-
uː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	+	-
ũː	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	+	+	n	+	-
u̝ː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	+	-
ṳː	+	+	-	+	+	+	-	n	-	-	+	+	+	+	-	-	-	+	+	+	n	+	-
ṵː	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	+	+	+	n	+	-
uːː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	+	+
ua	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	+	.	-	n	+	-
uə	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	.	-	n	+	-
ui	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	.	.	-	n	+	-
uj	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	.	-	-	n	+	-
uo	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	+	+	n	+	-
ṳo̤	+	+	-	+	+	+	-	n	-	-	+	+	+	.	-	-	-	+	+	+	n	+	-
u̯o	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	+	+	n	+	-
uɔ	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	+	+	+	n	+	-
uw	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	.	+	+	n	+	-
uʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ũʔ	+	+	-	+	+	+	+	n	+	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ṳʔ	+	+	-	+	+	+	+	n	-	-	+	+	+	+	-	-	-	+	+	+	n	-	-
uʔu	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ũʔũ	+	+	-	+	+	+	+	n	+	-	-	+	+	+	-	-	-	+	+	+	n	-	-
uˤ	+	+	-	+	+	+	-	n	-	-	-	+	+	+	+	-	-	+	+	+	n	-	-
ũˤ	+	+	-	+	+	+	-	n	+	-	-	+	+	+	+	-	-	+	+	+	n	-	-
ṳˤ	+	+	-	+	+	+	-	n	-	-	+	+	+	+	+	-	-	+	+	+	n	-	-
ṳ̃ˤ	+	+	-	+	+	+	-	n	+	-	+	+	+	+	+	-	-	+	+	+	n	-	-
uˤʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	+	+	-	-	+	+	+	n	-	-
ʉ	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ʉ̟ː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	+	-
ʉ̃ⁿ	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ɥ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	-	-	-	+	+	.	-	-
ɥ̥	-	-	-	+	+	-	-	n	-	-	+	.	n	+	-	-	-	-	+	+	.	-	-
ɯ	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɯ̃	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɯː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	-	-	n	+	-
ɯː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	-	-	n	+	-
ɯə	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	-	-	n	+	-
ɰ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
ɰ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
ɰʼ	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ɰʼ	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ʊ	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	+	+	+	n	-	-
ʊ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	+	-	-	-	+	+	+	n	-	-
ʊ̘	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ʊ̥	+	-	-	+	+	-	-	n	-	-	+	-	-	+	-	-	-	+	+	+	n	-	-
ʊː	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	+	+	+	n	+	-
ʊː	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	+	+	+	n	+	-
ʊ̃ː	+	+	-	+	+	+	-	n	+	-	-	-	-	+	-	-	-	+	+	+	n	+	-
ʊɔ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	+	-
ʊʏ̯	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	.	.	-	n	+	-
v	-	-	+	-	+	+	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
v̌	-	+	+	+	+	+	-	n	-	-	-	.	n	-	-	+	-	-	-	+	-	-	-
v̤	-	-	+	-	+	+	-	n	-	+	+	.	n	-	-	+	-	-	-	+	-	-	-
v̥	-	-	+	-	+	-	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
vʰ	-	-	+	-	+	+	-	n	-	+	+	+	n	-	-	+	-	-	-	+	-	-	-
vʲ	-	-	+	-	+	+	-	n	-	+	-	.	n	+	-	+	-	-	-	+	-	-	-
vʲ	-	-	+	-	+	+	-	n	-	+	-	.	n	+	-	+	-	-	-	+	-	-	-
ṽʲ	-	-	+	-	+	+	-	n	+	+	-	-	n	+	-	+	-	-	-	+	-	-	-
ṽʲ	-	-	+	-	+	+	-	n	+	+	-	-	n	+	-	+	-	-	-	+	-	-	-
vˡ	-	-	+	-	+	+	-	+	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
vɾ	-	+	+	+	-	+	-	n	-	-	-	.	n	-	-	+	-	-	-	+	-	-	-
vʷ	-	-	+	-	+	+	-	n	-	+	-	.	n	-	-	+	-	-	+	+	-	-	-
vˤ	-	-	+	-	+	+	-	n	-	+	-	.	n	-	+	+	-	+	-	+	-	-	-
ʋ	-	-	-	+	+	+	-	n	-	-	-	.	n	-	-	+	-	-	-	+	-	-	-
ʋ̃	-	-	-	+	+	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	-	-	-
ʋ*	-	-	-	+	+	+	-	n	-	-	-	-	n	-	-	+	-	-	-	+	-	-	-
ʋʰ	-	-	-	+	+	+	-	n	-	-	-	+	n	-	-	+	-	-	-	+	-	-	-
ʋʲ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	+	-	-	-	+	-	-	-
ʌ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ʌ̆	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	+
ʌ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ʌ̝	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ʌ̤	+	+	-	+	+	+	-	n	-	-	+	-	-	-	-	-	-	+	-	-	n	-	-
ʌː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	+	-
ʌ̃ː	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	+	-	-	n	+	-
ʌ̤ː	+	+	-	+	+	+	-	n	-	-	+	-	-	-	-	-	-	+	-	-	n	+	-
w	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
w̃	-	-	-	+	+	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
w*	-	-	-	+	+	+	-	n	-	-	-	-	n	+	-	+	-	+	-	+	.	-	-
wː	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	+	-
wʰ	-	-	-	+	+	+	-	n	-	-	-	+	n	+	-	+	-	+	+	+	.	-	-
wɦ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
wʲ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
wʼ	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	+	-	+	+	+	.	-	-
wʼ	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	+	-	+	+	+	.	-	-
wʼ	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	+	-	+	+	+	.	-	-
wˤ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	+	+	-	+	-	+	.	-	-
ʍ	-	-	-	+	+	-	-	n	-	-	+	.	n	+	-	+	-	+	-	+	.	-	-
x	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
x̀	-	-	+	-	+	-	-	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
xː	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	+	-
xʰ	-	-	+	-	+	-	-	n	-	-	+	+	n	+	-	-	-	+	-	-	.	-	-
xʲ	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
xʲ	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
x͡ɸ	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
xʷ	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	+	+	+	.	-	-
x̀ʷ	-	-	+	-	+	-	-	n	-	-	-	+	n	+	-	-	-	+	+	+	.	-	-
xʼ	-	-	+	-	+	-	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
xʼ	-	-	+	-	+	-	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
y	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	+	+	n	-	-
