	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
jʼ	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
jʼ	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
jʼ	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
ʝ	-	-	+	-	+	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ʝʼ	-	-	+	-	+	+	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
ʝʼ	-	-	+	-	+	+	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
ɟ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ɟ̥	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ɟʰ	-	-	+	-	-	+	-	n	-	-	+	+	n	+	-	-	-	-	-	-	.	-	-
ɟʝ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ɟʷ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	-	+	+	.	-	-
ɟʑ	-	-	+	-	-	+	-	-	-	-	-	.	n	+	-	-	.	-	-	-	+	-	-
ʄ	-	-	+	-	-	+	+	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ʄ̥	-	-	+	-	-	-	+	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
k	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
k̀	-	-	+	-	-	-	-	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
k̂	-	-	+	-	-	-	-	n	-	-	-	-	n	+	-	-	-	+	-	-	.	-	-
kː	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	+	-
kː	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	+	-
kf	-	-	+	-	-	-	-	n	-	+	-	.	n	.	-	.	-	.	-	.	-	-	-
kʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	+	-	-	.	-	-
kʰʲ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	-	-	-	.	-	-
kʰʷ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	+	+	+	.	-	-
kʰʷ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	+	+	+	.	-	-
kʲ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
klʼ	-	-	+	-	-	-	+	+	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
klʼ	-	-	+	-	-	-	+	+	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
k̂͡p̂	-	-	+	-	-	-	-	n	-	-	-	-	n	+	-	+	-	+	-	+	.	-	-
k͡p	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
k͡p	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
k͡pʲ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
k͡pʷ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	+	-	+	+	+	.	-	-
kʷ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	+	+	.	-	-
k̀ʷ	-	-	+	-	-	-	-	n	-	-	-	+	n	+	-	-	-	+	+	+	.	-	-
kʷː	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	+	+	.	+	-
