	vocalic 	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
qʼˤʷ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qˤ	-	+	+	-	-	-	+	.	+	-	-	+	+	-	-
qˤʷ	-	+	+	-	-	-	+	.	+	-	-	+	+	-	-
qˤʼ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qˤʼ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qχ	-	+	+	-	-	-	+	.	+	-	-	+	-	-	-
r	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ř	+	+	+	+	-	-	+	.	-	-	+	-	-	-	-
r̃	+	+	+	+	-	+	-	.	-	-	+	-	-	-	-
r̟	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
r̥	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
r̥	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
r̪	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
rː	+	+	+	+	-	-	-	.	-	-	+	-	-	+	-
rː	+	+	+	+	-	-	-	.	-	-	+	-	-	+	-
r͡ɣw	.	+	+	+	-	-	+	.	.	-	.	.	+	-	-
rʰ	+	+	+	+	-	-	-	+	-	-	+	-	-	-	-
r̥ʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
rʲ	+	+	+	+	-	-	-	.	-	+	+	-	-	-	-
r̟ʲ	+	+	+	+	-	-	-	.	-	+	+	-	-	-	-
r̟ʲ	+	+	+	+	-	-	-	.	-	+	+	-	-	-	-
r̪ʲ	+	+	+	+	-	-	-	.	-	+	+	-	-	-	-
rʷ	+	+	+	+	-	-	-	.	-	-	+	-	+	-	-
rʼ	+	+	+	+	+	-	-	.	-	-	+	-	-	-	-
rʼ	+	+	+	+	+	-	-	.	-	-	+	-	-	-	-
rˤ	+	+	+	+	-	-	-	.	-	-	+	-	+	-	-
rˤː	+	+	+	+	-	-	-	.	-	-	+	-	+	+	-
ʀ	+	+	+	+	-	-	+	.	+	-	-	+	-	-	-
ʀʼ	+	+	+	+	+	-	+	.	+	-	-	+	-	-	-
ʀʼ	+	+	+	+	+	-	+	.	+	-	-	+	-	-	-
ɹ	+	-	-	+	-	-	-	.	-	-	+	-	-	-	-
ɹ	+	-	-	+	-	-	-	.	-	-	+	-	-	-	-
ɹː	+	-	-	+	-	-	-	.	-	-	+	-	-	+	-
ɺ	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɻ	+	-	-	+	-	-	-	.	+	-	-	-	+	-	-
ɽ	+	+	+	+	-	-	-	.	+	-	-	-	+	-	-
ɽʰ	+	+	+	+	-	-	-	+	+	-	-	-	+	-	-
ɽʰ	+	+	+	+	-	-	-	+	+	-	-	-	+	-	-
ɾ	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɾ̃	+	+	+	+	-	+	-	.	-	-	+	-	-	-	-
ɾ̪	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɾð	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɾʲ	+	+	+	+	-	-	-	.	-	+	+	-	-	-	-
ɾˡ	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɾˤ	+	+	+	+	-	-	-	.	-	-	+	-	+	-	-
ɾ̪ˤ	+	+	+	+	-	-	-	.	-	-	+	-	+	-	-
ʁ	-	+	-	+	-	-	+	.	+	-	-	+	-	-	-
ʁː	-	+	-	+	-	-	+	.	+	-	-	+	-	+	-
ʁʲ	-	+	-	+	-	-	+	.	+	+	-	+	-	-	-
ʁʷ	-	+	-	+	-	-	+	.	+	-	-	+	+	-	-
ʁˤ	-	+	-	+	-	-	+	.	+	-	-	+	+	-	-
ʁˤʷ	-	+	-	+	-	-	+	.	+	-	-	+	+	-	-
s	-	+	-	-	-	-	+	.	-	-	+	-	-	-	-
s̀	-	+	-	-	-	-	+	+	-	-	+	-	-	-	-
š	-	+	-	-	-	-	+	.	-	-	+	-	-	-	-
s̞	-	+	-	-	-	-	+	.	-	-	+	-	-	-	-
s̪	-	+	-	-	-	-	+	.	-	-	+	-	-	-	-
s̻	-	+	-	-	-	-	+	.	-	-	+	-	-	-	-
sː	-	+	-	-	-	-	+	.	-	-	+	-	-	+	-
s̪ː	-	+	-	-	-	-	+	.	-	-	+	-	-	+	-
sˠ	-	+	-	-	-	-	+	.	-	.	+	-	-	-	-
sʰ	-	+	-	-	-	-	+	+	-	-	+	-	-	-	-
sʲ	-	+	-	-	-	-	+	.	-	+	+	-	-	-	-
s̪ʲ	-	+	-	-	-	-	+	.	-	+	+	-	-	-	-
s͡kʷ	-	+	.	-	-	-	-	.	.	-	.	.	+	-	-
s͡kʷ	-	+	.	-	-	-	-	.	.	-	.	.	+	-	-
sɥ	-	+	-	-	-	-	+	.	-	+	+	-	+	-	-
s̪v	-	+	-	-	-	-	+	.	-	-	+	.	-	-	-
sʷ	-	+	-	-	-	-	+	.	-	-	+	-	+	-	-
sʼ	-	+	-	-	+	-	+	.	-	-	+	-	-	-	-
sʼ	-	+	-	-	+	-	+	.	-	-	+	-	-	-	-
sʼ	-	+	-	-	+	-	+	.	-	-	+	-	-	-	-
s̪ʼ	-	+	-	-	+	-	+	.	-	-	+	-	-	-	-
s̪ʼ	-	+	-	-	+	-	+	.	-	-	+	-	-	-	-
sˤ	-	+	-	-	-	-	+	.	-	-	+	-	+	-	-
sˤ	-	+	-	-	-	-	+	.	-	-	+	-	+	-	-
s̪ˤ	-	+	-	-	-	-	+	.	-	-	+	-	+	-	-
s̪ˤ	-	+	-	-	-	-	+	.	-	-	+	-	+	-	-
s̻ˤ	-	+	-	-	-	-	+	.	-	-	+	-	+	-	-
s̪ˤː	-	+	-	-	-	-	+	.	-	-	+	-	+	+	-
ʂ	-	+	-	-	-	-	+	.	+	-	-	-	+	-	-
ʂʰ	-	+	-	-	-	-	+	+	+	-	-	-	+	-	-
ʃ	-	+	-	-	-	-	+	.	+	-	-	-	-	-	-
ʃ̀	-	+	-	-	-	-	+	+	+	-	-	-	-	-	-
ʃː	-	+	-	-	-	-	+	.	+	-	-	-	-	+	-
ʃː	-	+	-	-	-	-	+	.	+	-	-	-	-	+	-
ʃʲ	-	+	-	-	-	-	+	.	+	+	-	-	-	-	-
ʃ͡kʷ	-	+	.	-	-	-	-	.	+	-	-	.	+	-	-
ʃtʃ	-	+	+	-	-	-	+	.	+	-	-	-	-	-	-
ʃʷ	-	+	-	-	-	-	+	.	+	-	-	-	+	-	-
ʃ̥ʷ	-	+	-	-	-	-	+	.	+	-	-	-	+	-	-
ʃʼ	-	+	-	-	+	-	+	.	+	-	-	-	-	-	-
ʃʼ	-	+	-	-	+	-	+	.	+	-	-	-	-	-	-
ʃʼʷ	-	+	-	-	+	-	+	.	-	-	+	-	+	-	-
ʃʼʷ	-	+	-	-	+	-	+	.	-	-	+	-	+	-	-
t	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
t̀	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
t̂	-	+	+	-	-	-	-	-	-	-	+	-	-	-	-
t̪	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
t̪̀	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
t̪̀	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
t'	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
tː	-	+	+	-	-	-	-	.	-	-	+	-	-	+	-
t̪ː	-	+	+	-	-	-	-	.	-	-	+	-	-	+	-
tːʃ	-	+	+	-	-	-	+	.	+	-	-	-	-	+	-
tːʃː	-	+	+	-	-	-	+	.	+	-	-	-	-	+	+
tç	-	+	+	-	-	-	-	.	.	-	.	-	-	-	-
t̪͡c	-	+	+	-	-	-	-	.	.	-	.	-	-	-	-
tçʰ	-	+	+	-	-	-	-	+	.	-	.	-	-	-	-
tɕ	-	+	+	-	-	-	+	.	+	-	-	-	-	-	-
t̻ɕ	-	+	+	-	-	-	+	.	.	-	.	-	-	-	-
tɕʰ	-	+	+	-	-	-	+	+	+	-	-	-	-	-	-
t̻ɕʰ	-	+	+	-	-	-	+	+	.	-	.	-	-	-	-
tɕɥ	-	+	+	-	-	-	+	.	.	+	.	-	+	-	-
t̻ɕʼ	-	+	+	-	+	-	+	.	.	-	.	-	-	-	-
t̻ɕʼ	-	+	+	-	+	-	+	.	.	-	.	-	-	-	-
tˠ	-	+	+	-	-	-	-	.	-	.	+	-	-	-	-
tʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
t̪ʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
tʰʷ	-	+	+	-	-	-	-	+	-	-	+	-	+	-	-
tɦ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
tʲ	-	+	+	-	-	-	-	.	-	+	+	-	-	-	-
t̪ʲ	-	+	+	-	-	-	-	.	-	+	+	-	-	-	-
tʲʰ	-	+	+	-	-	-	-	+	-	+	+	-	-	-	-
tʲʼ	-	+	+	-	+	-	-	.	-	+	+	-	-	-	-
tʲʼ	-	+	+	-	+	-	-	.	-	+	+	-	-	-	-
t̪͡k	-	+	+	-	-	-	-	.	.	-	.	.	-	-	-
tl	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
tlʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
tlʼ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
tlʼ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
tɬ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
tɬʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
tɬʼ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
tɬʼ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
tⁿ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
t̪ⁿ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
tɸʰ	-	+	+	-	-	-	-	+	-	-	+	.	-	-	-
tr	-	+	+	-	-	-	-	.	-	-	+	-	+	-	-
ts	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
ts̀	-	+	+	-	-	-	+	+	-	-	+	-	-	-	-
t̪s̪	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
t̻s̻	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
t̪s̪ː	-	+	+	-	-	-	+	.	-	-	+	-	-	+	-
tsʰ	-	+	+	-	-	-	+	+	-	-	+	-	-	-	-
t̪s̪ʰ	-	+	+	-	-	-	+	+	-	-	+	-	-	-	-
tsʰʷ	-	+	+	-	-	-	+	+	-	-	+	-	+	-	-
t̪s̪ʰʷ	-	+	+	-	-	-	+	+	-	-	+	-	+	-	-
t̪s̪ɦ	-	+	+	-	-	-	+	+	-	-	+	-	-	-	-
tsʲ	-	+	+	-	-	-	+	.	-	+	+	-	-	-	-
t̺s̺ʲ	-	+	+	-	-	-	+	.	-	+	+	-	-	-	-
tsjʰ	-	+	+	-	-	-	+	+	-	+	+	-	-	-	-
ts͡kʷ	-	+	+	-	-	-	+	.	.	-	.	.	+	-	-
tsʷ	-	+	+	-	-	-	+	.	-	-	+	-	+	-	-
tswʰ	-	+	+	-	-	-	+	+	-	-	+	-	+	-	-
tsx	-	+	+	-	-	-	.	.	.	-	.	.	-	-	-
tsʼ	-	+	+	-	+	-	+	.	-	-	+	-	-	-	-
tsʼ	-	+	+	-	+	-	+	.	-	-	+	-	-	-	-
t̪s̪ʼ	-	+	+	-	+	-	+	.	-	-	+	-	-	-	-
t̪s̪ʼ	-	+	+	-	+	-	+	.	-	-	+	-	-	-	-
tsʼkxʼ	-	+	+	-	+	-	.	.	.	-	.	.	-	-	-
tsʼkxʼ	-	+	+	-	+	-	.	.	.	-	.	.	-	-	-
tsʼʷ	-	+	+	-	+	-	+	.	-	-	+	-	+	-	-
tsʼʷ	-	+	+	-	+	-	+	.	-	-	+	-	+	-	-
tʂ	-	+	+	-	-	-	+	.	.	-	.	.	-	-	-
tʂʼ	-	+	+	-	+	-	+	.	.	-	.	.	-	-	-
tʂʼ	-	+	+	-	+	-	+	.	.	-	.	.	-	-	-
tʃ	-	+	+	-	-	-	+	.	+	-	-	-	-	-	-
tʃ̀	-	+	+	-	-	-	+	+	+	-	-	-	-	-	-
t̪ʃ	-	+	+	-	-	-	+	.	.	-	.	-	-	-	-
t̻ʃ̻	-	+	+	-	-	-	+	.	+	-	-	-	-	-	-
tʃʰ	-	+	+	-	-	-	+	+	+	-	-	-	-	-	-
tʃʰʷ	-	+	+	-	-	-	+	+	+	-	-	-	+	-	-
tʃɦ	-	+	+	-	-	-	+	+	+	-	-	-	-	-	-
tʃʲ	-	+	+	-	-	-	+	.	+	+	-	-	-	-	-
tʃ͡k	-	+	+	-	-	-	+	.	+	-	-	.	-	-	-
tʃ͡kʷ	-	+	+	-	-	-	+	.	+	-	-	.	+	-	-
tʃ͡kʷ	-	+	+	-	-	-	-	.	+	-	-	.	+	-	-
tʃʷ	-	+	+	-	-	-	+	.	+	-	-	-	+	-	-
tʃʷʼ	-	+	+	-	+	-	+	.	+	-	-	-	+	-	-
tʃʷʼ	-	+	+	-	+	-	+	.	+	-	-	-	+	-	-
tʃʼ	-	+	+	-	+	-	+	.	+	-	-	-	-	-	-
tʃʼ	-	+	+	-	+	-	+	.	+	-	-	-	-	-	-
tʃˤ	-	+	+	-	-	-	+	.	+	-	-	-	+	-	-
tʷ	-	+	+	-	-	-	-	.	-	-	+	-	+	-	-
t̪ʷ	-	+	+	-	-	-	-	.	-	-	+	-	+	-	-
tx	-	+	+	-	-	-	-	.	.	-	.	.	-	-	-
tz	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
tzʼ	-	+	+	-	+	-	+	.	-	-	+	-	-	-	-
tzʼ	-	+	+	-	+	-	+	.	-	-	+	-	-	-	-
tʼ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
tʼ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
t̪ʼ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
t̪ʼ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
tʼkxʼ	-	+	+	-	+	-	-	.	.	-	.	.	-	-	-
tʼkxʼ	-	+	+	-	+	-	-	.	.	-	.	.	-	-	-
tʼʷ	-	+	+	-	+	-	-	.	-	-	+	-	+	-	-
tʼʷ	-	+	+	-	+	-	-	.	-	-	+	-	+	-	-
tˤ	-	+	+	-	-	-	-	.	-	-	+	-	+	-	-
tˤ	-	+	+	-	-	-	-	.	-	-	+	-	+	-	-
t̪ˤ	-	+	+	-	-	-	-	.	-	-	+	-	+	-	-
t̪ˤ	-	+	+	-	-	-	-	.	-	-	+	-	+	-	-
t̪ˤː	-	+	+	-	-	-	-	.	-	-	+	-	+	+	-
tθ	-	+	+	-	-	-	-	.	-	-	+	.	-	-	-
t̪θ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
tθʼ	-	+	+	-	+	-	+	.	-	-	+	-	-	-	-
tθʼ	-	+	+	-	+	-	+	.	-	-	+	-	-	-	-
ʈ	-	+	+	-	-	-	-	.	+	-	-	-	+	-	-
ʈʰ	-	+	+	-	-	-	-	+	+	-	-	-	+	-	-
ʈʰ	-	+	+	-	-	-	-	+	+	-	-	-	+	-	-
ʈʲ	-	+	+	-	-	-	-	.	+	+	-	-	+	-	-
ʈʲʰ	-	+	+	-	-	-	-	+	+	+	-	-	+	-	-
ʈⁿ	-	+	+	-	-	.	-	.	+	-	-	-	+	-	-
ʈɽ	-	+	+	-	-	-	-	.	+	-	-	-	+	-	-
ʈʂ	-	+	+	-	-	-	+	.	+	-	-	-	+	-	-
ʈʂʰ	-	+	+	-	-	-	+	+	+	-	-	-	+	-	-
ʈʂʼ	-	+	+	-	+	-	+	.	+	-	-	-	+	-	-
ʈʂʼ	-	+	+	-	+	-	+	.	+	-	-	-	+	-	-
u	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ũ	+	-	-	+	-	+	-	+	-	-	+	+	+	-	-
u̝	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
u̞	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
u̞	+	-	-	+	-	-	-	-	-	-	+	+	+	-	-
u̞	+	-	-	+	-	-	-	-	-	-	+	+	+	-	-
u̞	+	-	-	+	-	-	-	-	-	-	+	+	+	-	-
ṳ	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ṳ	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ṳ̃	+	-	-	+	-	+	-	-	-	-	+	+	+	-	-
u̥	-	-	-	-	-	-	-	+	-	-	+	+	+	-	-
ṵ	+	-	-	+	+	-	-	+	-	-	+	+	+	-	-
uː	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
uː	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
ũː	+	-	-	+	-	+	-	+	-	-	+	+	+	+	-
u̝ː	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
ṳː	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
ṵː	+	-	-	+	+	-	-	+	-	-	+	+	+	+	-
uːː	+	-	-	+	-	-	-	+	-	-	+	+	+	+	+
ua	+	-	-	+	-	-	-	+	-	-	+	-	.	+	-
uə	+	-	-	+	-	-	-	+	-	-	+	-	.	+	-
ui	+	-	-	+	-	-	-	+	-	-	+	.	.	+	-
uj	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
uo	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
ṳo̤	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
u̯o	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
uɔ	+	-	-	+	-	-	-	-	-	-	+	+	+	+	-
uw	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
uʔ	+	-	-	+	+	-	-	+	-	-	+	+	+	-	-
ũʔ	+	-	-	+	+	+	-	+	-	-	+	+	+	-	-
ṳʔ	+	-	-	+	+	-	-	+	-	-	+	+	+	-	-
uʔu	+	-	-	+	+	-	-	+	-	-	+	+	+	-	-
ũʔũ	+	-	-	+	+	+	-	+	-	-	+	+	+	-	-
uˤ	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ũˤ	+	-	-	+	-	+	-	+	-	-	+	+	+	-	-
ṳˤ	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ṳ̃ˤ	+	-	-	+	-	+	-	+	-	-	+	+	+	-	-
uˤʔ	+	-	-	+	+	-	-	+	-	-	+	+	+	-	-
ʉ	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ʉ̟ː	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
ʉ̃ⁿ	+	-	-	+	-	+	-	+	-	-	+	+	+	-	-
ɥ	-	-	-	+	-	-	-	.	-	-	-	.	-	-	-
ɥ̥	-	-	-	-	-	-	-	.	-	-	-	.	-	-	-
ɯ	+	-	-	+	-	-	-	+	-	-	+	+	-	-	-
ɯ̃	+	-	-	+	-	+	-	+	-	-	+	+	-	-	-
ɯː	+	-	-	+	-	-	-	+	-	-	+	+	-	+	-
ɯː	+	-	-	+	-	-	-	+	-	-	+	+	-	+	-
ɯə	+	-	-	+	-	-	-	+	-	-	+	+	-	+	-
ɰ	-	-	-	+	-	-	-	.	+	-	-	+	-	-	-
ɰ	-	-	-	+	-	-	-	.	+	-	-	+	-	-	-
ɰʼ	-	-	-	+	+	-	-	.	+	-	-	+	-	-	-
ɰʼ	-	-	-	+	+	-	-	.	+	-	-	+	-	-	-
ʊ	+	-	-	+	-	-	-	-	-	-	+	+	+	-	-
ʊ̃	+	-	-	+	-	+	-	-	-	-	+	+	+	-	-
ʊ̘	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ʊ̥	-	-	-	-	-	-	-	-	-	-	+	+	+	-	-
ʊː	+	-	-	+	-	-	-	-	-	-	+	+	+	+	-
ʊː	+	-	-	+	-	-	-	-	-	-	+	+	+	+	-
ʊ̃ː	+	-	-	+	-	+	-	-	-	-	+	+	+	+	-
ʊɔ	+	-	-	+	-	-	-	-	-	-	+	+	+	+	-
ʊʏ̯	+	-	-	+	-	-	-	-	-	-	+	.	.	+	-
v	-	+	-	+	-	-	+	.	-	-	+	+	-	-	-
v̌	+	+	+	+	-	-	-	.	-	-	+	+	-	-	-
v̤	-	+	-	+	-	-	+	.	-	-	+	+	-	-	-
v̥	-	+	-	-	-	-	+	.	-	-	+	+	-	-	-
vʰ	-	+	-	+	-	-	+	+	-	-	+	+	-	-	-
vʲ	-	+	-	+	-	-	+	.	-	+	+	+	-	-	-
vʲ	-	+	-	+	-	-	+	.	-	+	+	+	-	-	-
ṽʲ	-	+	-	+	-	+	+	.	-	+	+	+	-	-	-
ṽʲ	-	+	-	+	-	+	+	.	-	+	+	+	-	-	-
vˡ	-	+	-	+	-	-	+	.	-	-	+	+	-	-	-
vɾ	+	+	+	+	-	-	-	.	-	-	+	+	-	-	-
vʷ	-	+	-	+	-	-	+	.	-	-	+	+	+	-	-
vˤ	-	+	-	+	-	-	+	.	-	-	+	+	+	-	-
ʋ	-	-	-	+	-	-	-	.	-	-	+	+	-	-	-
ʋ̃	-	-	-	+	-	+	-	.	-	-	+	+	-	-	-
ʋ*	-	-	-	+	-	-	-	-	-	-	+	+	-	-	-
ʋʰ	-	-	-	+	-	-	-	+	-	-	+	+	-	-	-
ʋʲ	-	-	-	+	-	-	-	.	-	+	+	+	-	-	-
ʌ	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-
ʌ̆	+	-	-	+	-	-	-	-	-	-	-	+	-	-	+
ʌ̃	+	-	-	+	-	+	-	-	-	-	-	+	-	-	-
ʌ̝	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-
ʌ̤	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-
ʌː	+	-	-	+	-	-	-	-	-	-	-	+	-	+	-
ʌ̃ː	+	-	-	+	-	+	-	-	-	-	-	+	-	+	-
ʌ̤ː	+	-	-	+	-	-	-	-	-	-	-	+	-	+	-
w	-	-	-	+	-	-	-	.	-	-	-	+	-	-	-
w̃	-	-	-	+	-	+	-	.	-	-	-	+	-	-	-
w*	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-
wː	-	-	-	+	-	-	-	.	-	-	-	+	-	+	-
wʰ	-	-	-	+	-	-	-	+	-	-	-	+	-	-	-
wɦ	-	-	-	+	-	-	-	+	-	-	-	+	-	-	-
wʲ	-	-	-	+	-	-	-	.	-	+	-	+	-	-	-
wʼ	-	-	-	+	+	-	-	.	-	-	-	+	-	-	-
wʼ	-	-	-	+	+	-	-	.	-	-	-	+	-	-	-
wʼ	-	-	-	+	+	-	-	.	-	-	-	+	-	-	-
wˤ	-	-	-	+	-	-	-	.	-	-	-	+	+	-	-
ʍ	-	-	-	-	-	-	-	.	-	-	-	+	-	-	-
x	-	+	-	-	-	-	-	.	+	-	-	+	-	-	-
x̀	-	+	-	-	-	-	-	+	+	-	-	+	-	-	-
xː	-	+	-	-	-	-	-	.	+	-	-	+	-	+	-
xʰ	-	+	-	-	-	-	-	+	+	-	-	+	-	-	-
xʲ	-	+	-	-	-	-	-	.	+	+	-	+	-	-	-
xʲ	-	+	-	-	-	-	-	.	+	+	-	+	-	-	-
x͡ɸ	-	+	-	-	-	-	-	.	-	-	-	+	-	-	-
xʷ	-	+	-	-	-	-	-	.	+	-	-	+	+	-	-
x̀ʷ	-	+	-	-	-	-	-	+	+	-	-	+	+	-	-
xʼ	-	+	-	-	+	-	-	.	+	-	-	+	-	-	-
xʼ	-	+	-	-	+	-	-	.	+	-	-	+	-	-	-
y	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-
ỹ	+	-	-	+	-	+	-	+	-	-	+	-	+	-	-
yː	+	-	-	+	-	-	-	+	-	-	+	-	+	+	-
yi	+	-	-	+	-	-	-	+	-	-	+	-	.	+	-
ʏ	+	-	-	+	-	-	-	-	-	-	+	-	+	-	-
z	-	+	-	+	-	-	+	.	-	-	+	-	-	-	-
z̤	-	+	-	+	-	-	+	.	-	-	+	-	-	-	-
z̪	-	+	-	+	-	-	+	.	-	-	+	-	-	-	-
z̻	-	+	-	+	-	-	+	.	-	-	+	-	-	-	-
z̪ː	-	+	-	+	-	-	+	.	-	-	+	-	-	+	-
z͡ɣw	-	+	-	+	-	-	.	.	.	-	.	.	+	-	-
zʲ	-	+	-	+	-	-	+	.	-	+	+	-	-	-	-
z̪ʲ	-	+	-	+	-	-	+	.	-	+	+	-	-	-	-
z̪v	-	+	-	+	-	-	+	.	-	-	+	.	-	-	-
zʷ	-	+	-	+	-	-	+	.	-	-	+	-	+	-	-
zʷ͡ɣw	-	+	-	+	-	-	.	.	.	-	.	.	+	-	-
zʼ	-	+	-	+	+	-	+	.	-	-	+	-	-	-	-
zʼ	-	+	-	+	+	-	+	.	-	-	+	-	-	-	-
zˤ	-	+	-	+	-	-	+	.	-	-	+	-	+	-	-
zˤ	-	+	-	+	-	-	+	.	-	-	+	-	+	-	-
z̪ˤ	-	+	-	+	-	-	+	.	-	-	+	-	+	-	-
z̪ˤ	-	+	-	+	-	-	+	.	-	-	+	-	+	-	-
z̻ˤ	-	+	-	+	-	-	+	.	+	-	-	-	+	-	-
z̪ˤː	-	+	-	+	-	-	+	.	-	-	+	-	+	+	-
ʐ	-	+	-	+	-	-	+	.	+	-	-	-	+	-	-
ʑ	-	+	-	+	-	-	+	.	+	-	-	-	-	-	-
ʒ	-	+	-	+	-	-	+	.	+	-	-	-	-	-	-
ʒ̤	-	+	-	+	-	-	+	.	+	-	-	-	-	-	-
ʒ̥	-	+	-	+	-	-	+	.	+	-	-	-	-	-	-
ʒː	-	+	-	+	-	-	+	.	+	-	-	-	-	+	-
ʒ͡ɣw	-	+	-	+	-	-	.	.	+	-	-	.	+	-	-
ʒʰ	-	+	-	+	-	-	+	+	+	-	-	-	-	-	-
ʒʰ	-	+	-	+	-	-	+	+	+	-	-	-	-	-	-
ʒʲ	-	+	-	+	-	-	+	.	+	+	-	-	-	-	-
ʒʷ	-	+	-	+	-	-	+	.	+	-	-	-	+	-	-
ʒʷ	-	+	-	+	-	-	+	.	+	-	-	-	+	-	-
ʒ̥ʷ	-	+	-	+	-	-	+	.	+	-	-	-	+	-	-
ʔ	-	-	+	-	-	-	-	.	.	-	.	.	-	-	-
ʔb	-	+	+	+	+	-	-	.	-	-	+	+	-	-	-
ʔb	-	+	+	+	+	-	-	.	-	-	+	+	-	-	-
ʔd	-	+	+	+	+	-	-	.	-	-	+	-	-	-	-
ʔd	-	+	+	+	+	-	-	.	-	-	+	-	-	-	-
ʔj	-	-	-	+	+	-	-	.	+	-	-	-	-	-	-
ʔj	-	-	-	+	+	-	-	.	+	-	-	-	-	-	-
ʔk	-	+	+	-	+	-	-	.	+	-	-	+	-	-	-
ʔl	+	+	-	+	+	-	-	.	-	-	+	-	-	-	-
ʔl	+	+	-	+	+	-	-	.	-	-	+	-	-	-	-
ʔm	-	+	+	+	+	+	-	.	-	-	+	+	-	-	-
ʔm	-	+	+	+	+	+	-	.	-	-	+	+	-	-	-
ʔn	-	+	+	+	+	+	-	.	-	-	+	-	-	-	-
ʔn	-	+	+	+	+	+	-	.	-	-	+	-	-	-	-
ʔp	-	+	+	-	+	-	-	.	-	-	+	+	-	-	-
ʔt	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ʔw	-	-	-	+	+	-	-	.	-	-	-	+	-	-	-
ʔw	-	-	-	+	+	-	-	.	-	-	-	+	-	-	-
ʔʷ	-	-	+	-	-	-	-	.	.	-	.	.	+	-	-
ʔˤ	-	-	+	-	-	-	-	.	.	-	.	.	+	-	-
ʔǀn	-	+	+	-	+	+	-	.	-	-	+	-	-	-	-
