	vocalic 	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
ðn	-	+	-	-	-	+	-	.	-	-	+	-	-	-	-
dʷ	-	+	+	+	-	-	-	.	-	-	+	-	+	-	-
dx	-	+	+	.	-	-	-	.	.	-	.	.	-	-	-
dz	-	+	+	+	-	-	+	.	-	-	+	-	-	-	-
d̪z̪	-	+	+	+	-	-	+	.	-	-	+	-	-	-	-
dzɣw	-	+	+	+	-	-	.	.	.	-	.	.	+	-	-
dzʰ	-	+	+	+	-	-	+	+	-	-	+	-	-	-	-
dzʲ	-	+	+	+	-	-	+	.	-	+	+	-	-	-	-
d̪z̪ʲ	-	+	+	+	-	-	+	.	-	+	+	-	-	-	-
dzʷ	-	+	+	+	-	-	+	.	-	-	+	-	+	-	-
d̪z̪ʷ	-	+	+	+	-	-	+	.	-	-	+	-	+	-	-
dzx	-	+	+	.	-	-	.	.	.	-	.	.	-	-	-
dzʼ	-	+	+	+	+	-	+	.	-	-	+	-	-	-	-
dzʼ	-	+	+	+	+	-	+	.	-	-	+	-	-	-	-
dzʼkxʼ	-	+	+	.	+	-	.	.	.	-	.	.	-	-	-
dzʼkxʼ	-	+	+	.	+	-	.	.	.	-	.	.	-	-	-
dʐ	-	+	+	+	-	-	+	.	.	-	.	.	-	-	-
dʑ	-	+	+	+	-	-	+	.	+	-	-	-	-	-	-
d̻ʑ	-	+	+	+	-	-	+	.	.	-	.	-	-	-	-
dʑɥ	-	+	+	+	-	-	+	.	+	+	-	-	+	-	-
dʒ	-	+	+	+	-	-	+	.	+	-	-	-	-	-	-
d̪ʒ	-	+	+	+	-	-	+	.	.	-	.	-	-	-	-
d̻ʒ̻	-	+	+	+	-	-	+	.	.	-	.	-	-	-	-
dʒ͡ɡ	-	+	+	+	-	-	+	.	+	-	-	.	-	-	-
dʒ͡ɣʷ	-	+	+	+	-	-	.	.	+	-	-	.	+	-	-
dʒʰ	-	+	+	+	-	-	+	+	+	-	-	-	-	-	-
dʒʲ	-	+	+	+	-	-	+	.	+	+	-	-	-	-	-
dʒʷ	-	+	+	+	-	-	+	.	+	-	-	-	+	-	-
dʼ	-	+	+	+	+	-	-	.	-	-	+	-	-	-	-
dʼ	-	+	+	+	+	-	-	.	-	-	+	-	-	-	-
dʼkxʼ	-	+	+	.	+	-	-	.	.	-	.	.	-	-	-
dʼkxʼ	-	+	+	.	+	-	-	.	.	-	.	.	-	-	-
dˤ	-	+	+	+	-	-	-	.	-	-	+	-	+	-	-
dˤ	-	+	+	+	-	-	-	.	-	-	+	-	+	-	-
dˤ	-	+	+	+	-	-	-	.	-	-	+	-	+	-	-
d̪ˤ	-	+	+	+	-	-	-	.	-	-	+	-	+	-	-
d̪ˤ	-	+	+	+	-	-	-	.	-	-	+	-	+	-	-
ðˤ	-	+	-	+	-	-	-	.	-	-	+	-	+	-	-
ðˤ	-	+	-	+	-	-	-	.	-	-	+	-	+	-	-
d̪ˤː	-	+	+	+	-	-	-	.	-	-	+	-	+	+	-
dβ	-	+	+	+	-	-	-	.	-	-	+	.	-	-	-
ɖ	-	+	+	+	-	-	-	.	+	-	-	-	+	-	-
ɖ˞	-	+	+	-	-	-	-	.	+	-	-	-	+	-	-
ɖʰ	-	+	+	+	-	-	-	+	+	-	-	-	+	-	-
ɖʰ	-	+	+	+	-	-	-	+	+	-	-	-	+	-	-
ɖʲ	-	+	+	+	-	-	-	.	+	+	-	-	+	-	-
ɖɽ	-	+	+	+	-	-	-	.	+	-	-	-	+	-	-
ɖʐ	-	+	+	+	-	-	+	.	+	-	-	-	+	-	-
ɗ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɗ̪	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɗʷ	-	+	+	+	-	-	-	.	-	-	+	-	+	-	-
ɗʒ	-	+	+	+	-	-	+	.	+	-	-	-	-	-	-
e	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-
e	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-
ẽ	+	-	-	+	-	+	-	+	-	-	-	-	-	-	-
e̝	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-
ẽ̝	+	-	-	+	-	+	-	+	-	-	-	-	-	-	-
e̞	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-
e̞	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
e̞	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
e̤	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-
e̤	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-
ẽ̤	+	-	-	+	-	+	-	+	-	-	-	-	-	-	-
e̥	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
e̯	-	-	-	+	-	-	-	.	+	-	-	-	-	-	-
eː	+	-	-	+	-	-	-	+	-	-	-	-	-	+	-
eː	+	-	-	+	-	-	-	+	-	-	-	-	-	+	-
ẽː	+	-	-	+	-	+	-	+	-	-	-	-	-	+	-
e̝ː	+	-	-	+	-	-	-	+	-	-	-	-	-	+	-
e̤ː	+	-	-	+	-	-	-	+	-	-	-	-	-	+	-
eːː	+	-	-	+	-	-	-	+	-	-	-	-	-	+	+
e̯a	+	-	-	+	-	-	-	+	-	-	-	.	-	+	-
eə	+	-	-	+	-	-	-	+	-	-	-	.	-	+	-
ei	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
eɪ	+	-	-	+	-	-	-	.	-	-	+	-	-	+	-
ej	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
emf	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-
ẽⁿ	+	-	-	+	-	+	-	+	-	-	-	-	-	-	-
e̯o	+	-	-	+	-	-	-	+	-	-	-	.	.	+	-
eu	+	-	-	+	-	-	-	+	-	-	+	.	.	+	-
eʔ	+	-	-	+	+	-	-	+	-	-	-	-	-	-	-
eʔe	+	-	-	+	+	-	-	+	-	-	-	-	-	-	-
ẽʔẽ	+	-	-	+	+	+	-	+	-	-	-	-	-	-	-
eˤ	+	-	-	+	-	-	-	+	-	-	-	-	+	-	-
ə	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-
ə̆	+	-	-	+	-	-	-	-	-	-	-	+	-	-	+
ə̃	+	-	-	+	-	+	-	-	-	-	-	+	-	-	-
ə̝	+	-	-	+	-	-	-	+	-	-	-	+	-	-	-
ə̟	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-
ə˞	+	-	-	+	-	-	-	-	-	-	-	+	+	-	-
